alpha,average,max,std_dev,compression_ratio
1,1.0,1.0,0.0,1.0
3,1.0114779999999999,3.0,0.10187399999999999,1.0577976860235698
5,1.271836,3.6,0.43638199999999994,2.2568117920325044
7,1.343874,3.8,0.477072,2.770407396692545
9,1.5186579999999998,4.2,0.577828,3.953877605933792
11,1.520208,4.0,0.579292,4.176935854248972
13,1.5803699999999998,4.6,0.61191,4.458035135904877
15,1.551274,4.4,0.598986,4.437677821799082
17,1.5518,4.4,0.5969340000000001,4.4240871630596015
19,1.551942,4.8,0.601424,4.440347600745511
21,1.538658,4.6,0.590532,4.35116145648806
23,1.520674,4.6,0.586468,4.0826755146804095
25,1.508314,4.8,0.57958,4.110253972140271
27,1.454368,4.0,0.55107,3.6049383139348175
29,1.513764,4.4,0.587568,4.163778493071676
31,1.434824,4.0,0.54173,3.4787319440549167
33,1.458748,4.2,0.556846,3.66212195689538
35,1.38829,4.0,0.514522,3.1250638776144646
37,1.41377,4.0,0.531406,3.343652839275252
39,1.39289,4.0,0.520194,3.158666923203877
41,1.371722,4.0,0.5050100000000001,2.9662297295641724
43,1.345698,4.0,0.493276,2.8000541707631066
45,1.34555,4.0,0.49263399999999996,2.758075434452594
47,1.32905,4.0,0.48210600000000003,2.685272049540542
49,1.33048,4.0,0.48345200000000005,2.6915870493048972
